[2025-05-02T22:49:26.488+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890411.json introuvable, j’ignore.
[2025-05-02T22:49:26.764+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890397.json introuvable, j’ignore.
[2025-05-02T22:49:27.094+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890397.json introuvable, j’ignore.
[2025-05-02T22:49:27.368+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890401.json introuvable, j’ignore.
[2025-05-02T22:49:27.645+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890401.json introuvable, j’ignore.
[2025-05-02T22:49:28.075+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890396.json introuvable, j’ignore.
[2025-05-02T22:49:28.557+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890396.json introuvable, j’ignore.
[2025-05-02T22:49:28.943+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890384.json introuvable, j’ignore.
[2025-05-02T22:49:29.197+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890384.json introuvable, j’ignore.
[2025-05-02T22:49:29.490+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890385.json introuvable, j’ignore.
[2025-05-02T22:49:29.806+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890385.json introuvable, j’ignore.
[2025-05-02T22:49:30.103+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890282.json introuvable, j’ignore.
[2025-05-02T22:49:30.335+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890282.json introuvable, j’ignore.
[2025-05-02T22:49:30.568+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890287.json introuvable, j’ignore.
