[2025-05-03T00:07:20.945+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890505.json introuvable, j’ignore.
[2025-05-03T00:07:21.174+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890511.json introuvable, j’ignore.
[2025-05-03T00:07:21.434+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890511.json introuvable, j’ignore.
[2025-05-03T00:07:21.623+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890515.json introuvable, j’ignore.
[2025-05-03T00:07:21.862+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890515.json introuvable, j’ignore.
[2025-05-03T00:07:22.178+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890411.json introuvable, j’ignore.
[2025-05-03T00:07:22.548+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890411.json introuvable, j’ignore.
[2025-05-03T00:07:22.925+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890397.json introuvable, j’ignore.
[2025-05-03T00:07:23.146+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890397.json introuvable, j’ignore.
[2025-05-03T00:07:23.384+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890401.json introuvable, j’ignore.
[2025-05-03T00:07:23.584+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890401.json introuvable, j’ignore.
[2025-05-03T00:07:23.779+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890396.json introuvable, j’ignore.
[2025-05-03T00:07:24.010+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890396.json introuvable, j’ignore.
[2025-05-03T00:07:24.212+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890384.json introuvable, j’ignore.
[2025-05-03T00:07:24.414+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890384.json introuvable, j’ignore.
[2025-05-03T00:07:24.639+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890385.json introuvable, j’ignore.
[2025-05-03T00:07:24.832+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890385.json introuvable, j’ignore.
[2025-05-03T00:07:25.036+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890282.json introuvable, j’ignore.
[2025-05-03T00:07:25.250+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890282.json introuvable, j’ignore.
[2025-05-03T00:07:25.448+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890287.json introuvable, j’ignore.
[2025-05-03T00:07:25.662+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890287.json introuvable, j’ignore.
[2025-05-03T00:07:25.862+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890269.json introuvable, j’ignore.
[2025-05-03T00:07:26.057+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890269.json introuvable, j’ignore.
[2025-05-03T00:07:26.271+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890268.json introuvable, j’ignore.
[2025-05-03T00:07:26.510+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890268.json introuvable, j’ignore.
[2025-05-03T00:07:26.734+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890402.json introuvable, j’ignore.
[2025-05-03T00:07:26.933+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890402.json introuvable, j’ignore.
[2025-05-03T00:07:27.143+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890564.json introuvable, j’ignore.
[2025-05-03T00:07:27.364+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890564.json introuvable, j’ignore.
[2025-05-03T00:07:27.564+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890563.json introuvable, j’ignore.
[2025-05-03T00:07:27.767+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890563.json introuvable, j’ignore.
